T;alpha;PSNR;BER_D;BER_U;NC_D;NC_U;NC_sum
10;0.000;52.736;0.515;0.499;0.644;0.652;1.296
10;0.050;45.169;0.516;0.286;0.643;0.813;1.456
10;0.100;39.940;0.513;0.234;0.646;0.850;1.496
10;0.150;36.627;0.519;0.196;0.640;0.876;1.516
10;0.200;34.363;0.519;0.164;0.640;0.897;1.537
10;0.250;32.689;0.523;0.149;0.637;0.908;1.545
10;0.300;31.381;0.521;0.136;0.638;0.916;1.554
20;0.000;50.486;0.468;0.495;0.684;0.655;1.339
20;0.050;44.681;0.460;0.292;0.692;0.808;1.500
20;0.100;39.788;0.463;0.230;0.689;0.853;1.542
20;0.150;36.555;0.461;0.198;0.691;0.875;1.566
20;0.200;34.320;0.467;0.170;0.686;0.894;1.580
20;0.250;32.660;0.469;0.149;0.685;0.908;1.593
20;0.300;31.360;0.456;0.134;0.695;0.918;1.613
30;0.000;48.360;0.364;0.502;0.763;0.649;1.412
30;0.050;44.014;0.361;0.288;0.766;0.811;1.577
30;0.100;39.560;0.364;0.225;0.763;0.856;1.619
30;0.150;36.446;0.369;0.195;0.759;0.877;1.636
30;0.200;34.254;0.370;0.172;0.758;0.893;1.651
30;0.250;32.615;0.365;0.147;0.762;0.909;1.671
30;0.300;31.326;0.365;0.134;0.763;0.917;1.680
40;0.000;46.668;0.263;0.498;0.832;0.653;1.485
40;0.050;43.313;0.263;0.286;0.831;0.813;1.644
40;0.100;39.296;0.267;0.230;0.828;0.852;1.680
40;0.150;36.314;0.260;0.197;0.834;0.875;1.709
40;0.200;34.175;0.267;0.171;0.829;0.893;1.722
40;0.250;32.560;0.262;0.147;0.833;0.909;1.742
40;0.300;31.285;0.263;0.130;0.832;0.920;1.752
50;0.000;45.233;0.205;0.494;0.872;0.656;1.528
50;0.050;42.592;0.201;0.287;0.875;0.812;1.687
50;0.100;38.995;0.211;0.225;0.868;0.856;1.724
50;0.150;36.161;0.208;0.194;0.870;0.877;1.747
50;0.200;34.080;0.205;0.170;0.872;0.894;1.766
50;0.250;32.494;0.212;0.153;0.867;0.905;1.772
50;0.300;31.236;0.205;0.131;0.872;0.919;1.791
60;0.000;43.489;0.167;0.499;0.898;0.653;1.551
60;0.050;41.557;0.166;0.285;0.898;0.813;1.711
60;0.100;38.512;0.164;0.225;0.900;0.855;1.755
60;0.150;35.903;0.168;0.197;0.897;0.876;1.773
60;0.200;33.918;0.168;0.168;0.897;0.895;1.792
60;0.250;32.382;0.166;0.149;0.898;0.908;1.806
60;0.300;31.152;0.169;0.135;0.896;0.917;1.813
70;0.000;42.775;0.124;0.495;0.925;0.655;1.580
70;0.050;41.086;0.124;0.291;0.925;0.809;1.734
70;0.100;38.273;0.126;0.226;0.924;0.855;1.779
70;0.150;35.769;0.126;0.195;0.924;0.877;1.801
70;0.200;33.834;0.127;0.172;0.923;0.892;1.815
70;0.250;32.322;0.123;0.148;0.926;0.908;1.834
70;0.300;31.107;0.126;0.134;0.924;0.917;1.841
80;0.000;41.912;0.093;0.493;0.945;0.657;1.602
80;0.050;40.483;0.092;0.290;0.945;0.810;1.755
80;0.100;37.946;0.095;0.229;0.944;0.853;1.797
80;0.150;35.583;0.092;0.195;0.945;0.876;1.821
80;0.200;33.713;0.091;0.170;0.946;0.894;1.840
80;0.250;32.237;0.093;0.150;0.945;0.907;1.852
80;0.300;31.042;0.089;0.134;0.947;0.918;1.865
90;0.000;40.841;0.072;0.500;0.958;0.651;1.609
90;0.050;39.686;0.073;0.288;0.957;0.811;1.768
90;0.100;37.484;0.072;0.230;0.958;0.852;1.810
90;0.150;35.309;0.071;0.196;0.958;0.876;1.834
90;0.200;33.533;0.069;0.170;0.959;0.894;1.853
90;0.250;32.108;0.067;0.146;0.961;0.909;1.870
90;0.300;30.944;0.070;0.133;0.959;0.918;1.877
100;0.000;39.906;0.050;0.497;0.971;0.653;1.624
100;0.050;38.952;0.054;0.287;0.969;0.812;1.781
100;0.100;37.027;0.051;0.230;0.970;0.852;1.822
100;0.150;35.027;0.052;0.193;0.970;0.878;1.848
100;0.200;33.343;0.049;0.171;0.971;0.893;1.864
100;0.250;31.970;0.052;0.153;0.969;0.905;1.874
100;0.300;30.838;0.053;0.135;0.969;0.917;1.886
