Attack,PSNR,BER_D,BER_U,NC_D,NC_U,T,alpha
No attack,45.48385871620454,0.4150390625,0.998046875,0.7298811490323666,0.0028865709409018037,2.5,0.05
JPEG_30,37.345775116186985,0.5849609375,0.791015625,0.5799728023936778,0.32619699598346935,2.5,0.05
Gaussian_noise_10,28.414591209496137,0.48046875,0.7548828125,0.6735882802949037,0.40872445551977005,2.5,0.05
Blur,38.42773034433439,0.49609375,0.908203125,0.6634874005696079,0.1976322290757354,2.5,0.05
Resize_0.5,39.32590905545218,0.50390625,0.650390625,0.656392876077783,0.5178508267977836,2.5,0.05
No attack,40.12375624142032,0.4150390625,0.9990234375,0.7298811490323666,0.0,2.5,0.1
JPEG_30,35.731418174582494,0.5849609375,0.8291015625,0.5799728023936778,0.2651484716833109,2.5,0.1
Gaussian_noise_10,28.21723324036444,0.4814453125,0.8359375,0.6743325659115232,0.2969101669036703,2.5,0.1
Blur,38.299282421641884,0.49609375,0.9375,0.6634874005696079,0.14393626502445256,2.5,0.1
Resize_0.5,39.23325706496623,0.50390625,0.6982421875,0.656392876077783,0.467458202032852,2.5,0.1
No attack,34.46298208222161,0.4150390625,0.9990234375,0.7298811490323666,0.0,2.5,0.2
JPEG_30,32.95353414419316,0.5849609375,0.8994140625,0.5799728023936778,0.1366412159085585,2.5,0.2
Gaussian_noise_10,27.586463166836744,0.515625,0.876953125,0.6464498951648472,0.23559556690106173,2.5,0.2
Blur,37.8397502932372,0.49609375,0.96484375,0.6634874005696079,0.08616305467542991,2.5,0.2
Resize_0.5,38.87654259164951,0.5048828125,0.765625,0.6555521390442713,0.38991360207522147,2.5,0.2
No attack,45.48263402225481,0.3623046875,0.998046875,0.7730084448688292,0.0028865709409018037,5.0,0.05
JPEG_30,37.342233972116475,0.5693359375,0.791015625,0.5959087802967266,0.32619699598346935,5.0,0.05
Gaussian_noise_10,28.417523787063455,0.5068359375,0.76953125,0.6542853704421414,0.3917744822758967,5.0,0.05
Blur,38.42808691938208,0.4794921875,0.908203125,0.6747462332054774,0.1976322290757354,5.0,0.05
Resize_0.5,39.32550549696591,0.4365234375,0.650390625,0.7102065590547476,0.5178508267977836,5.0,0.05
No attack,40.12339974043393,0.3623046875,0.9990234375,0.7730084448688292,0.0,5.0,0.1
JPEG_30,35.72897607785984,0.5693359375,0.8291015625,0.5959087802967266,0.2651484716833109,5.0,0.1
Gaussian_noise_10,28.18826758362657,0.4765625,0.845703125,0.6772098593360969,0.2909832199243343,5.0,0.1
Blur,38.299628604562116,0.4794921875,0.9375,0.6747462332054774,0.14393626502445256,5.0,0.1
Resize_0.5,39.232862024385334,0.4365234375,0.6982421875,0.7102065590547476,0.467458202032852,5.0,0.1
No attack,34.46288525526008,0.3623046875,0.9990234375,0.7730084448688292,0.0,5.0,0.2
JPEG_30,32.95224579927283,0.5693359375,0.8994140625,0.5959087802967266,0.1366412159085585,5.0,0.2
Gaussian_noise_10,27.54398558455495,0.494140625,0.873046875,0.6637680769325895,0.24249949569784027,5.0,0.2
Blur,37.840061716238814,0.4794921875,0.96484375,0.6747462332054774,0.08616305467542991,5.0,0.2
Resize_0.5,38.876178700224784,0.4375,0.765625,0.7094232454390342,0.38991360207522147,5.0,0.2
No attack,45.47289380182878,0.4931640625,0.998046875,0.6659763108866653,0.0028865709409018037,7.5,0.05
JPEG_30,37.34441885687591,0.505859375,0.791015625,0.6559793269794998,0.32619699598346935,7.5,0.05
Gaussian_noise_10,28.40445356031838,0.515625,0.744140625,0.6458141060162241,0.4210184231844113,7.5,0.05
Blur,38.418830780610136,0.482421875,0.908203125,0.6733289685889645,0.1976322290757354,7.5,0.05
Resize_0.5,39.32179233789282,0.5205078125,0.650390625,0.64090173441166,0.5178508267977836,7.5,0.05
No attack,40.12056188310041,0.4931640625,0.9990234375,0.6659763108866653,0.0,7.5,0.1
JPEG_30,35.73048292377909,0.505859375,0.8291015625,0.6559793269794998,0.2651484716833109,7.5,0.1
Gaussian_noise_10,28.228954846912153,0.4853515625,0.822265625,0.6696220978509931,0.31885311805149075,7.5,0.1
Blur,38.290641961236986,0.482421875,0.9375,0.6733289685889645,0.14393626502445256,7.5,0.1
Resize_0.5,39.22922720257673,0.5205078125,0.6982421875,0.64090173441166,0.467458202032852,7.5,0.1
No attack,34.46211427641583,0.4931640625,0.9990234375,0.6659763108866653,0.0,7.5,0.2
JPEG_30,32.95304078663926,0.505859375,0.8994140625,0.6559793269794998,0.1366412159085585,7.5,0.2
Gaussian_noise_10,27.550109285681984,0.5087890625,0.8984375,0.6528117547429474,0.20912247495223166,7.5,0.2
Blur,37.831976606708345,0.482421875,0.96484375,0.6733289685889645,0.08616305467542991,7.5,0.2
Resize_0.5,38.87283036355686,0.5205078125,0.765625,0.64090173441166,0.38991360207522147,7.5,0.2
No attack,45.427975015051146,0.6416015625,0.998046875,0.5342444693626212,0.0028865709409018037,10.0,0.05
JPEG_30,37.33580730599392,0.5166015625,0.791015625,0.6425721888432976,0.32619699598346935,10.0,0.05
Gaussian_noise_10,28.439170588069537,0.4970703125,0.76953125,0.6606938032129799,0.39370032610250005,10.0,0.05
Blur,38.396863885355465,0.48046875,0.908203125,0.6766619804564878,0.1976322290757354,10.0,0.05
Resize_0.5,39.303113425523286,0.525390625,0.650390625,0.6396968081786383,0.5178508267977836,10.0,0.05
No attack,40.10741613675905,0.6416015625,0.9990234375,0.5342444693626212,0.0,10.0,0.1
JPEG_30,35.72454244608299,0.5166015625,0.8291015625,0.6425721888432976,0.2651484716833109,10.0,0.1
Gaussian_noise_10,28.216444587799387,0.4697265625,0.81640625,0.6841173129937275,0.32840780605588693,10.0,0.1
Blur,38.26932609448259,0.48046875,0.9375,0.6766619804564878,0.14393626502445256,10.0,0.1
Resize_0.5,39.21097748677085,0.525390625,0.6982421875,0.6396968081786383,0.467458202032852,10.0,0.1
No attack,34.45853809848121,0.6416015625,0.9990234375,0.5342444693626212,0.0,10.0,0.2
JPEG_30,32.94990593161208,0.5166015625,0.8994140625,0.6425721888432976,0.1366412159085585,10.0,0.2
Gaussian_noise_10,27.535761780736724,0.5244140625,0.8955078125,0.6380857106384046,0.20664110139283295,10.0,0.2
Blur,37.81278935220078,0.48046875,0.96484375,0.6766619804564878,0.08616305467542991,10.0,0.2
Resize_0.5,38.85602744516576,0.525390625,0.765625,0.6396968081786383,0.38991360207522147,10.0,0.2
